Country Name,2017,2018,2019,2020,2021
United Kingdom,2699016715111.39,2900791442554.064,2878673912414.439,2756900214107.32,3186859739185.02
Georgia,16242916915.7203,17596922469.9152,17470436258.5131,15842922532.7202,18700241392.1575
Ghana,60406382898.5174,67299280679.563,68337537815.7703,70043199813.6885,77594279054.8795
Guinea,10324668266.5921,11857030336.5252,13442861443.7506,14169626010.1229,15850520383.9941
Greece,199844406013.531,212049447242.111,205144152830.847,188835201625.91,216240589485.256
Guatemala,71654134378.5299,73208583758.9105,77020015201.3201,77604632620.6473,85986321551.2388
Guam,6013000000,6060000000,6364000000,5844000000,56536425563
Guyana,4748174334.14044,4787636237.24043,5173760191.84652,5471256594.72422,7409179920.86331
"Hong Kong SAR, China",341273289534.466,361731070995.726,363052489184.395,344881400505.337,368139247671.487
Honduras,23136232229.6069,24067778953.842,25089976946.7736,23827840809.7014,28488668301.6401
Croatia,56214427431.2,62247874948.8225,62246206340.5469,57203783203.0259,67837788543.5852
Haiti,15035560372.6443,16455034352.7671,14785839382.9002,14508218017.4032,20944392615.0803
Hungary,143136245596.988,160586833778.457,163526491433.29,156743134665.959,182280517581.212
Indonesia,1015618742565.81,1042271531011.99,1119099868265.25,1058688935454.78,1186092991320.04
India,2651472946374.907,2702929718960.455,2831552222519.99,2667687951796.565,3173397590816.91
Ireland,335430829594.026,385041711506.234,399122063504.148,425888950992.003,498559576714.721
Iraq,187217660050.676,227367469034.031,233636097800.338,184369797315.436,207889333724.138
Iceland,24728285177.4603,26267063757.5495,24857740445.0401,21718075725.2054,25458933915.8742
Israel,355277223507.485,373641241440.789,397934596952.56,407100736594.064,481591266133.409
Italy,1961796197354.36,2091932426266.979,2011285742552.15,1892574064222.11,2099880198258.881
Jamaica,14808989993.3185,15730793852.7913,15830768549.8916,13812425036.5864,13638230995.679
Jordan,41408960845.0704,42932112676.0563,44502895915.493,43697659295.7747,45243661971.831
Japan,4930837369151.422,5037835383110.967,5123318151510.623,5040107754084.106,4937421880461.548
Kazakhstan,166805800595.704,179339994859.384,181667190075.541,171082379532.988,190814274226.211
Kenya,82035800868.187,92202956320.532,100379713697.421,100666542665.72,110347079517.356
Cambodia,22177200511.5811,24571753583.4922,27089389786.979,25872798012.1938,26961061119.7957
"Korea, Rep.",1623901496835.79,1724845615629.26,1651422932447.768,1637895802792.9,1798533915091.14
Kuwait,120707435542.367,138182400493.585,136196760180.976,105960225688.145,1099276752523
Lebanon,53027680685.8375,54901519155.6219,51605959131.3385,25948915861.1985,18076624840.1841
Liberia,3390703400,3422754800,3319596500,3039982540,3486741370
Libya,67158415841.5842,76684175824.1758,69252306372.0232,52320215472.0934,41879579677.1747
St. Lucia,1996771440.74074,2065127262.96296,2118791548.14815,1616772748.14815,1764901133.33333
Latin America & Caribbean,5830760733039.749,5701842678618.312,5623606841400.308,4743154434209.723,5488720386464.898
Sri Lanka,87428128123.7209,87963042340.7745,83902574442.8014,80969683537.4541,84518830392.6157
Lesotho,2306185361.14628,2514146887.91664,2451257578.69383,2250717718.46577,2518468891.03913
Lithuania,47758736931.7801,53750911865.687,54697379017.3332,56546957475.4912,65503849704.5997
Luxembourg,65712180342.9836,71285019397.4133,70195715495.5136,73353132793.7076,86710803337.0994
Latvia,30483806017.8318,34429023435.0211,34308783825.3019,33645460617.239,38872546228.5653
"Macao SAR, China",50440941938.6992,55284360483.1217,55204758069.5124,25586111076.3415,29905190181.75
Morocco,109682728023.112,118096227400.092,119870439113.662,114725065285.149,132725261467.431
Moldova,9669741744.22001,11457443185.0542,11971345002.7757,11859730543.5525,13679221333.2052
Madagascar,13176313593.5509,13614412550.8812,14191911512.0465,13225591803.6232,14637400395.689
Maldives,4754175869.24027,5300962659.51088,5607762625.14627,3742769967.42798,4889666931.63855
Middle East & North Africa,3296304700286.031,3459086397885.487,3465217350186.81,3106899915587.77,3636731834007.356
Mexico,1158913035796.37,1222408203104.296,1269404276770.697,1087117783073.31,1293037866360.17
North Macedonia,11307058382.3435,12683070061.4695,12606338448.547,12116981815.2261,13879269151.5718
Mali,15365713059.1057,17070867577.6666,17280250805.2245,17465392779.0366,19143741503.1482
Malta,13505056441.5193,15301279478.2071,15719500920.5362,14917038504.285,17189730469.5554
Myanmar,61449392056.1488,67144725830.5753,68697759361.231,78930257227.0908,65067808984.6792
Montenegro,4856602178.63417,5506944403.30186,5542201150.91048,4780722121.96227,5809170961.78285
Mongolia,11480847745.3187,13178094459.4548,14206359006.8095,13312981594.573,15098022828.6106
Mozambique,13219079497.7055,14845400592.6712,15390031039.9957,14028811071.7628,16095828896.6342
Mauritania,6800135961.61412,7352533585.59316,7889655284.47161,7915985513.70246,8227580740.49889
Mauritius,13259351418.4459,14181951058.5129,14045808843.221,10926820603.402,11156657769.6974
Malawi,8943543677.18899,9880676218.82611,11025370768.8135,12172128469.5737,12626718073.7439
Malaysia,319112136545.438,358791513221.482,365276379480.99,337006023789.699,372701358820.264
North America,21136028016244.1,22259711195783.02,23122010947482.31,22546048902568.36,24993942509665.2
Namibia,12895153160.466,13682062249.2236,12543203410.6928,10562637375.594,12236250784.1336
New Caledonia,9173668102.13844,9846922416.14776,9438130987.37298,9435529927.2471,94362767267
Niger,11185102399.5762,12808660528.0617,12916455161.1081,13741378450.136,14950949875.2729
Nigeria,375746469538.666,397190484464.308,448120428858.769,432293776262.398,440776971536.015
Nicaragua,13785909906.1925,13025239912.2751,12596636042.2321,12586941392.6347,14013022092.0645
Netherlands,833869641687.06,914043438179.607,910194347568.626,913865395789.886,1018007056949.6
Norway,398393955268.99,436999692591.454,404941363636.364,362198318435.26,482437019790.454
Nepal,28971589213.2184,33111525871.9538,34186190995.9565,33433670511.9364,36288830373.4106
New Zealand,206623758800.159,211953111035.513,213434571357.984,211734532308.013,249991512236.526
Oman,80856697009.1027,91505851755.5267,88060858257.4772,73971391417.4252,85868626527.9584
Pakistan,339205615769.187,356128224957.085,320909489229.723,300306331697.668,346343170486.072
Panama,62202725200,64929409200,66984427200,53977037000,63605065800
Peru,211007207483.515,222597212925.211,228323495040.901,201705055938.653,223249497500.387
Philippines,328480867142.69,346842094175.24,376823278561.196,361751116292.541,394086419343.056
Poland,526508877305.321,587411745161.558,597280564671.563,596624355719.671,674048266397.369
Puerto Rico,103445526000,100925000000,104914600000,103138300000,109738736662
Portugal,221357874718.93,242313116577.967,239986922638.902,228539245045.341,249886464354.752
Paraguay,38997129473.5558,40225448340.6322,37925338329.156,35432178068.1756,38986810989.0011
French Polynesia,5833351477.8985,6135117589.07754,6008055247.77908,5669368717.20724,54633766737
Qatar,161099122215.307,183334953813.209,175837550996.185,144411363345.27,179570783550.549
Romania,211695422578.655,241457403085.042,249881592298.072,249511333647.502,284087563695.798
Rwanda,9252834120.39358,9642440645.81148,10356327149.4262,10184345442.1708,11070356519.4804
South Asia,3426790936090.994,3527312593331.059,3648731786168.25,3482474115840.58,4087773969795.48
Saudi Arabia,688586094412.68,816578674529.141,803616264791.024,703367841222.555,833541236569.315
Sudan,129717804934.614,32333780383.2924,32338079165.2893,26987563444.1489,34326058557.4359
